题名,作者,出版社
数学物理方法学习指导,姚端正 Yao Duan Zheng 编著,科学出版社
微分几何讲义,陈省身 chen xing shen  著,北京大学出版社
线性代数与空间解析几何典型题,龚东保 gong dong bao 编著,西安交通大学出版社
有限元分析软件,博嘉科技 Bo Jia Ke Ji 编著,中国水利水电出版社
运筹学试题精选与答题技巧,徐永仁 Xu Yong Ren 主编,哈尔滨工业大学出版社
,"Bar-Shalom, Yaakov.",
Origin实用教程(7.5版),周剑平 Zhou Jian Ping 编著,西安交通大学出版社
父亲进城,石钟山 Shi Zhong Shan 著,群众出版社
工程电磁场导论,冯慈璋 FENG CI ZHANG 主编,高等教育出版社
工科数学理论与方法的复习与提高,洪潮兴 hong chao xing 主编,华南理工大学出版社
红与黑,"司汤达, si tang da (Stendhal),  1783-1842 著",人民文学出版社
计算方法,邓建中 deng jian zhong 编著,西安交通大学出版社
理论力学 (西工大版?哈工大?第六版) 导教?导学?导考,蔡泰信 cai tai xin 编,西北工业大学出版社
理论力学解题指导及习题,柳祖亭 liu zu ting 主编,机械工业出版社
量子力学基础,关洪 guan hong 著,高等敎育出版社
明朝那些事儿,当年明月 dang nian ming yue 著,中国友谊出版公司
平凡的世界,"路遙, lu yao 1949-1992 著",人民文学出版社
热工基础与应用,"傅秦生, fu qin sheng 1948- 主编",西安交通大学出版社
数学分析原理,"鲁丁, lu ding W. (Rudin, Walter) 著",机械工业出版社
数学建模技术,谢兆鸿 xie zhao hong 著,中国水利水电出版社
数值传热学,陶文铨 tao wen quan 编著,西安交通大学出版社
笑傲江湖,"金庸, jin yong 1924- 著",广州出版社;"花城出版社"
ANSYS 10.0电磁学有限元分析实例指导教程,孙明礼 sun ming li 编著,机械工业出版社
ANSYS 10.0工程电磁分析技术与实例详解,阎照文 yan zhao wen 编著,中国水利水电出版社
白鹿原,"陈忠实, chen zhong shi 1942-  著",人民文学出版社
常微分方程习题解,庄万 zhuang wan 主编,山东科学技术出版社
传热学,"皮茨, pi ci  D. (Pitts, Donald) 著",科学出版社;"麦格劳-希尔教育出版集团"
从一到无穷大,"盖莫 Gaimo (Gamow, George), 1904-1968 CAL  n2004496648# jt0yjt0y ec0yec0y",科学出版社
大学物理题典,胡盘新 hu pan xin 主编,上海交通大学出版社
大学物理学习指导,阴其俊 yin qi jun 编著,华东理工大学出版社
大学物理学习指导,阴其俊 yin qi jun 编著,华东理工大学出版社
电磁学千题解,张之翔 zhang zhi xiang  编著,科学出版社
高等数学习题课30讲,徐兵 xu bing 编著,北京航空航天大学出版社
计算流体动力学分析,"王福军, wang fu jun 1964-  编著",清华大学出版社
尼罗河上的惨案,"克里斯蒂 Ke Li Si Di (Christie, Agatha), 1890-1976 著",人民文学出版社
神经网络模型及其MATLAB仿真程序设计,周开利 zhou kai li 编著,清华大学出版社
时间简史,"霍金 Huojin (Hawking, Stephen William), 1942- 著",湖南科学技术出版社
数字电子技术基础学习与解题指南,陈大钦 chen da qin 主编,华中科技大学出版社
天龙八部,"金庸, Jin Yong 1925-  著",广州出版社;"花城出版社"
线性代数(同济·第三版)导教·导学·导考,陆全 Lu Quan 编,西北工业大学出版社
新概念物理教程,赵凯华 Zhao Kai Hua 编,高等教育出版社
羊皮卷,"曼迪诺, man di nuo O. (Mandino, OG), 1924-  编",世界知识出版社
有限元法基础与程序设计,李亚智 Li Ya Zhi 编著,科学出版社
战争序幕,"埃尔森, Ai Er Sen R. T. 著",中国社会科学出版社;"海南出版社"
最优化原理与方法,薛毅 Xue Yi 编著,北京工业大学出版社
