题名,作者,出版社
精通J2EE,计磊 ji lei 编著,人民邮电出版社
精通MATLAB科学计算,王正林 wang zheng lin 编著,电子工业出版社
菊与刀,"本尼迪克特 ben ni di ke te (Benedict, Ruth), 1887-1948 著",青岛出版社
矩阵分析,刘丁酉 liu ding you 编著,武汉大学出版社
矩阵分析,刘丁酉 liu ding you 编著,武汉大学出版社
矩阵论,戴华 Dai Hua 编著,科学出版社
开关电源设计,"普雷斯曼 Pu Lei Si Man (Pressman, Abraham I.) 著",电子工业出版社
空气动力学,"吴子牛, Wu Zi Niu 1963-  主编",清华大学出版社
了不起的盖茨比,"菲茨杰拉德 fei ci jie la de (Fitzgerald, Scott), 1896-1940 著",陕西人民出版社
离散数学典型例题与解法,邹阿金 Zou A Jin 编著,国防科技大学出版社
历年大学英语六级考试真题精析,高含菊 Gao Han Ju 主编,中国对外翻译出版公司
两相流与传热研究,陈听宽 chen ting kuan 著,西安交通大学出版社
临床中药学,"高学敏, gao xue min 1938-  著",河北科学技术出版社
流体力学,王松岭 Wang Song Ling 主编,中国电力出版社
流体力学,张国强 Zhang Guo Qiang 编,机械工业出版社
流体力学,贾月梅 Jia Yue Mei 主编,国防工业出版社
流体润滑理论,周桂如 ZHOU GUI RU 编著,浙江大学出版社
流体运动经典分析,杨本洛 著,科学出版社
六世达赖喇嘛仓央嘉措,高平 gao ping 著,中国藏学出版社
罗生门,"芥川龙之介, jie chuan long zhi jie 1892-1927 著",上海三联书店
罗生门,芥川龙之介 jie chuan long zhi jie 著,译林出版社
麦肯锡咨询方法,程爱学 cheng ai xue 编著,北京大学出版社
毛宗岗批评本三国演义,"罗贯中, Luo Guanzhong 约1330-1400 著",岳麓书社
美国纽约摄影学院摄影教材,美国纽约摄影学院 mei guo niu yue she ying xue yuan 著,中国摄影出版社
梦的释义,"弗洛伊德 fu luo yi de (Freud, Sigmund), 1856-1939 著",新世界出版社
面试中的248个问题及回答技巧,"霍奇森 huo qi sen (Hodgson, Susan) 著",中国市场出版社
明朝那些事儿,当年明月 dang nian ming yue 著,中国海关出版社
模态分析理论与试验,"埃朗,  ai Lang W. (Heylen, Ward) 著",北京理工大学出版社
莫言精选集,"莫言, Mo Yan 1955-  著",北京燕山出版社
男人攻略,李津 li jin 编著,群言出版社
"你好, 旧时光",八月长安 Ba Yue Chang An 著,湖南文艺出版社
欧·亨利短篇小说集,"亨利 heng li (Henry, O.), 1862-1910 著",三联书店
飘,"米切尔 Mi Qie Er (Mitchell, Margaret), 1900-1949 著",漓江出版社
嵌入式Linux应用开发完全手册,韦东山 wei dong shan 编著,人民邮电出版社
全球通史,"斯塔夫里阿诺斯, si ta fu li a nuo si L.S. (Stavrianos, L.S.) 著",北京大学出版社
热力学与统计物理,欧阳容百 Ou Yang Rong Bai 编著,科学出版社
人际心理学,刘迎泽 liu ying ze 主编,海潮出版社
日本获奖推理小说选,"李重民, li chong min 1953-  编译",九州出版社
溶胶-凝胶原理与技术,黄剑锋 Huang Jian Feng 编,化学工业出版社
入党培训的25个问题,《求是》杂志政治部 《 qiu shi 》 za zhi zheng zhi bu 编著,红旗出版社
三国演义,"罗贯中, luo guan zhong 1330-1400 著",人民文学出版社
色谱分析概论,傅若农 fu ruo nong 编著,化学工业出版社
社会契约论,"卢梭 lu suo (Rousseau, Jean-Jacques), 1712-1778 著",陕西人民出版社
社会性动物,"阿伦森, A Lun Sen E. (Aronson, Elliot) 著",新华出版社
沈从文经典作品选,沈从文 shen cong wen 著,当代世界出版社
声学基础,杜功焕 Du Gong Huan 著,南京大学出版社
声学理论与工程应用,何琳 He Lin 编著,科学出版社
圣女的救赎,东野圭吾 dong ye gui wu 著,接力出版社
失效分析,孙智 Sun Zhi 编著,机械工业出版社
十日谈,"薄伽丘, bu jia qiu G. (Boccaccio, G.), 1313-1375 著",长江文艺出版社
十宗罪,蜘蛛 Zhi Zhu 著,湖南文艺出版社
十宗罪,蜘蛛 zhi zhu 著,湖南文艺出版社
实变函数解题指南,周民强 zhou min qiang 编著,北京大学出版社
实变函数与泛函分析基础,程其襄 cheng qi xiang 编,高等教育出版社
实分析与复分析,"鲁丁, lu ding W. (Rudin, Walter) 著",机械工业出版社
食物营养与健康,薛建平 xue jian ping 主编,中国科学技术大学出版社
史记,"司马迁, si ma qian 前145或前135-前87? 撰",中华书局
史前与当今的流体力学问题,周光 [jiong] zhou guang jiong 编著,北京大学出版社
世纪未解之谜,张石 zhang shi 编著,陕西师范大学出版社
世界经典爱情小说,董兴文 Dong Xing wen 选析,中央民族大学出版社
试验设计与数据处理,何少华 he shao hua 编著,国防科技大学出版社
数据结构基础,"霍罗维兹 Huo Luo Wei Zi (Horowitz, Ellis) 著",清华大学出版社
数据结构与算法分析,"卡拉诺, ka la nuo F. M. (Carrano, Frank M.) 著",清华大学出版社
数据库系统概念,"西尔伯沙茨 xi er bo sha ci (Silberschatz, Abraham) 著",机械工业出版社
数据挖掘基础教程,"索曼 Suo Man (Soman, K. P.) 著",机械工业出版社
数学分析的思想与方法,明清河 ming qing he 著,山东大学出版社
数学分析全程导学及习题全解,王勇 wang yong (数学) 主编,中国时代经济出版社
数学分析习题集,"吉米多维奇 ji mi duo wei qi (Демидович, Б. П.) 1906-1977 著",高等教育出版社
数学分析习题集题解,,山东科学技术出版社
数学建模,刘锋 Liu Feng 编著,南京大学出版社
数学建模教程,许洪范 Xu Hong Fan 著,国防工业出版社
数学建模精品案例,朱道元 zhu dao yuan 编著,东南大学出版社
数学建模优秀论文精选与点评,李学文 Li Xue Wen 编,清华大学出版社
数学考研精解,罗亚平 luo ya ping 编,科学出版社
数学物理方程与特殊函数,杨奇林 yang qi lin 编著,清华大学出版社
数值分析原理,封建湖 feng jian hu 编著,科学出版社
数字电子技术要点与解题,张锡赓 Zhang Xi Geng 编著,西安交通大学出版社
数字系统设计,夏宇闻 Xia Yu Wen 编著,高等敎育出版社
数字信号处理,"莱昂斯 lai ang si (Lyons, Richard G.), 1948- 著",机械工业出版社
送你一颗子弹,"刘瑜, liu yu 1975-  著",上海三联书店
算法设计与分析,王晓东 wang xiao dong 编著,清华大学出版社
随机过程,孙清华 sun qing hua 著,华中科技大学出版社
随机过程初级教程,"卡林, ka lin S. (Karlin, Samuel) 著",人民邮电出版社
钛合金及其表面处理,赵树萍 zhao shu ping 编著,哈尔滨工业大学出版社
钛合金及应用,张喜燕 Zhang Xi Yan 编著,化学工业出版社
檀香刑,"莫言, Mo Yan 1955- 著",上海文艺出版社
天线,"克劳斯 ke lao si (Kraus, John  Daniel), 1910-  著",电子工业出版社
通信系统仿真原理与无线应用,"特兰特尔, chen te er W. H. (Tranter, William H.) 著",机械工业出版社
湍流大涡数值模拟的理论和应用,张兆顺 zhang zhao shun 著,清华大学出版社
湍流大涡数值模拟的理论和应用,张兆顺 zhang zhao shun 著,清华大学出版社
瓦尔登湖,梭罗 suo luo 亨利.戴维 主编,上海三联书店
完美英文简历一本通,王珠英 wang zhu ying 主编,西安交通大学出版社
汪曾祺谈吃,汪曾祺 wang zeng qi 1920-1997 著,北方文艺出版社
王小波全集,"王小波, Wang Xiao Bo 1952-1997 著",云南人民出版社
王小波全集,"王小波, Wang Xiao Bo 1952-1997 著",云南人民出版社
王小波全集,王小波 Wang Xiao Bo 著,北京理工大学出版社
乌合之众,"勒庞 Le Pang (Le Bon, Gustave), 1841-1931 著",江西人民出版社
物理化学学习及考研指导,沈文霞 shen wen xia 编著,科学出版社
物语日本,茂吕美耶 Mao Lv Mei Ye 著,广西师范大学出版社
物种起源,"达尔文 da er wen (Darwin, Charles Robert), 1809-1882 著",北京大学出版社
西安交通大学imac,,
西方经济学,"高鸿业, gao hong ye, 1921- 主编",中国人民大学出版社
西方美学史,"朱光潜, zhu guang qian 1897-1986 著",中国长安出版社
吸附作用应用原理,赵振国 Zhao Zhen Guo 编著,化学工业出版社
希腊神话,"施瓦布 Shiwabu (Schwab, Gustav Benjamin), 1792-1850 著 CAL  n2004360706# jt0yjt0y ec0yec0y",陕西师范大学出版社
现代操作系统,"坦嫩鲍姆 Tan Nen Bao Mu (Tanenbaum, Andrew S.), 1944-  著",机械工业出版社
线性代数,李尚志 Li Shang Zhi 编著,高等敎育出版社
线性代数理论与解题方法,李启文 li qi wen 编,湖南大学出版社
线性代数通用辅导讲义,俞正光 yu zheng guang 编著,清华大学出版社
线性代数学习指导与习题精解,杨刚 yang gang 编,北京理工大学出版社
线性代数与解析几何学习指导,邱中华 qiu zhong hua 编,人民邮电出版社
详解MATLAB在科学计算中的应用,陈泽 chen ze 编著,电子工业出版社
象与骑象人,"海特 hai te (Haidt, Jonathan) 著",中国人民大学出版社
心理学导论,"库恩 ku en (Coon, Dennis) 著",中国轻工业出版社
心理罪,雷米 lei mi 作品,重庆出版社
心理罪,雷米 lei mi 作品,重庆出版社
新版中日交流标准日本语语法详解,刘晓华 liu xiao hua 主编,大连出版社
新材料概论,谭毅 tan yi 主编,冶金工业出版社
信号与线性系统解题指导,林梓 Lin Zi 编著,北京邮电学院出版社
修炼,"谢耘, xie yun 1963- 著",东方出版社
溴化锂吸收式制冷机实用教程,辛长平 xin chang ping 编著,电子工业出版社
许三观卖血记,"余华, yu hua 1960- 著",作家出版社
许三观卖血记,"余华, Yu Hua 1960- 著 CAL  n2004017431# jt0yjt0y ec0yec0y",作家出版社
血色浪漫,都梁 du liang 著,长江文艺出版社
一九八四,"奥威尔 ao wei er (Orwell, George), 1903-1950 著",上海译文出版社
医学分子细胞生物学,章静波 zhang jing bo 主编,中国协和医科大学出版社
应用非线性控制,"斯洛坦 si luo tan (Slotine, Jean-Jacques E.) 著",机械工业出版社
应用时间序列分析,何书元 he shu yuan 编著,北京大学出版社
永磁电机,王秀和 wang xiu he 编著,中国电力出版社
张国荣的荣光魅影,陈舒 Chen Shu 编,东方出版社
侦探俱乐部,"东野圭吾, dong ye gui wu 1958-  著",南海出版公司
脂砚斋批评本红楼梦,"曹雪芹, Cao Xueqin 1715?-1763? 著",岳麓书社
只差一个谎言,"东野圭吾, dong ye gui wu 1958- 著",南海出版社
中国盗墓史,"王子今, Wang Zijin 1950-  著",九州出版社
肿瘤分子细胞生物学,陈意生 chen yi sheng 主编,人民军医出版社
庄子,"庄子, zhuang zi 约前369-前286 著",中华书局
追忆似水年华,"普鲁斯特 Pulusite (Proust, Marcel), 1871-1922 著 CAL  n2004361815# jt0yjt0y ec0yec0y",译林出版社
资本论,"马克思 ma ke si (Marx, Karl), 1818-1883 著",译林出版社
资本市场:机构与工具,法博齐 fa bo qi F.J. 著,经济科学出版社
资治通鉴,陈磊 Chen Lei 译注,中华书局
走遍日本,王精诚 wang jing cheng 总主编,外语教学与研究出版社
最优化理论与算法,陈宝林 chen bao lin 编著,清华大学出版社
,"Jackson, John David, 1925-",
 信号与系统 解题指南,胡光锐 hu guang rui 编著,科学出版社
《三十六计》现代释用,"司马烈人, si ma lie ren 1963-  解译",中国华侨出版社
《诗经》译注,"周振甫, Zhou Zhen Fu 1911-2000 著",江苏敎育出版社
《数字信号处理 (第三版) 》学习指导,丁玉美 ding yu mei 编著,西安电子科技大学出版社
《周易》与人生,蒋凡 jiang fan 主编,上海古籍出版社
ABC谋杀案,"克里斯蒂 ke li si di (Christie, Agatha), 1890-1976 著",新星出版社
Absolute C++中文版,"萨维奇 Sa Wei Qi (Savitch, Walter) 著",机械工业出版社
ANSYS 12.0多物理耦合场有限元分析从入门到精通,党沙沙 dang sha sha 编著,机械工业出版社
ANSYS Workbench设计、仿真与优化,李兵 li bing 编著,清华大学出版社
Bill Clinton,"本森 ben sen (Benson, Michael) 著",中国对外翻译出版公司
C + + 从入门到精通,,化学工业出版社
C++ Primer(第4版) 习题解答,蒋爱军 jiang ai jun 编著,人民邮电出版社
C++程序设计教程,王珊珊 wang shan shan 编著,机械工业出版社
C++从入门到精通,李伟明 li wei ming 编著,清华大学出版社
C语言程序设计,谭浩强 tan hao qiang 著,清华大学出版社
C语言程序设计,谭浩强 tan hao qiang 著,清华大学出版社
FORTRAN 95程序设计与数据结构基础教程,王庆节 wang qing jie 主编,天津大学出版社
Mathematica 5在大学数学课程中的应用,丁大正 ding da zheng 编著,电子工业出版社
MATLAB 2009从入门到精通,崔智全 cui zhi quan 编著,中国铁道出版社
MATLAB函数查询手册,占君 Zhan Jun 编著,机械工业出版社
MATLAB控制系统仿真与设计,赵景波 Zhao Jing Bo 主编,机械工业出版社
MATLAB控制系统应用与实例,樊京 fan jing 编著,清华大学出版社
Matlab时频分析技术及其应用,葛哲学 ge zhe xue 编著,人民邮电出版社
MATLAB数值计算案例分析,刘寅立 liu yin li 编著,北京航空航天大学出版社
MATLAB数字信号处理,王彬 Wang Bin 主编,机械工业出版社
MATLAB有限元结构动力学分析与工程应用,徐斌 xu bin 编著,清华大学出版社
MATLAB语言及机械工程应用,原思聪 yuan si cong 主编,机械工业出版社
MATLAB在数字信号处理中的应用,薛年喜 xue nian xi 编著,清华大学出版社
MATLAB自动控制系统设计,张德丰 zhang de feng 编著,机械工业出版社
MEMS和微系统,"徐泰然 xu tai ran (Hsu, Tai-Ran) 著",机械工业出版社
MFC Windows应用程序设计,任哲 ren zhe 编著,清华大学出版社
MSC.ADAMS FSP基础培训教程,美国MSC.Software mei guo msc.software 著,清华大学出版社
Protel 99SE电路设计教程,李东生 Li Dong Sheng 编著,电子工业出版社
TOEFL词汇词根+联想记忆法,俞敏洪 yu min hong 编著,浙江教育出版社
TOEFL考试词汇详解手册,王勋 wang xun 主编,清华大学出版社
Verilog  HDL数字控制系统设计实例,冼进 xian jin xian jin 主编,中国水利水电出版社
Visual C++数据库实用编程100例,崔莹 Cui Ying 编著,中国铁道出版社
Visual C++数据库系统开发案例精选,宋坤 Song Kun 编著,人民邮电出版社
暗红色研究;"四个人的签名","柯南道尔 ke nan dao er (Sir Doyle, Arthur Conan), 1859-1930 著",百家出版社
白话史记,"司马迁, si ma qian 约前145或前135?-? 著",新世界出版社
白银时代;"2010";"黑铁时代","王小波, wang xiao bo 1952-1997 著",长江文艺出版社
半导体光电子技术,余金中 yu jin zhong 编著,化学工业出版社
北大教授给出的21条博弈法则,叶舟 ye zhou 编著,广西科学技术出版社
边干边学,李善平 Li Shanping 编著,浙江大学出版社
编译原理,"阿霍 a huo (Aho, Alfred V.) 译",机械工业出版社
病理生理学,陈主初 Chen Zhu Chu 主编,人民卫生出版社
博物馆建筑,"罗森布拉特, luo sen bu la te A. (Rosenblatt, Arthur) 著",中国建筑工业出版社
捕鼠器,"克里斯蒂AKelisidi (Christie, Agatha), 1890-1976 著",人民文学出版社
不能承受的生命之轻,"昆德拉 kun de la (Kundera, Milan) 1929-  著",上海译文出版社
不确定度及其实践,刘智敏 著,中国标准出版社
布鲁特斯的心脏,"东野圭吾, Dongyeguiwu 1958- 著 CAL  n2011101218# jt0yjt0y ec0yec0y",南海出版公司
材料表面工程导论,赵文轸 ZHAO WEN ZHEN 主编,西安交通大学出版社
材料科学基础,石德珂 shi de ke 主编,机械工业出版社
材料科学基础,胡赓祥 hu geng xiang 编著,上海交通大学出版社
材料力学辅导,黄一红 Huang Yi Hong 主编,西安电子科技大学出版社
材料力学学习及考研指导书,西南交通大学 xi nan jiao tong da xue 材料力学敎研室 cai liao li xue jiao yan shi 编,西南交通大学出版社
材料磨损原理及其耐磨性,刘家浚 LIU JIA JUN 著,清华大学出版社
材料热力学,郝士明 hao shi ming 编著,化学工业出版社
操作系统习题与解析,曾平 zeng ping 编著,清华大学出版社
测度论讲义,严加安 yan jia an 著,科学出版社
测度论与概率论基础,程士宏 cheng shi hong 编著,北京大学出版社
常识,"梁文道, liang wen dao 1970- 著",广西师范大学出版社
沉睡的森林,"东野圭吾, Dongyeguiwu 1958-  著",南海出版公司
出国留学应急英语,王蓓 Wang Bei 编著,北京工业大学出版社
大国崛起,中央电视台 Zhong Yang Dian Shi Tai 大国崛起节目组 Da Guo Jue Qi Jie Mu Zu 编著,中国民主法制出版社
大唐狄公案,"高罗佩 gao luo pei (Gulik, Robert Hans van), 1910-1967 著",海南出版社
大学物理辅导,吕金钟 lu? jin zhong 主编,清华大学出版社
大学物理教程,吴锡珑 wu xi long 主编,高等教育出版社
大学物理解题能力训练,余虹 YU HONG 主编,大连理工大学出版社
大学物理权威教材精华700题解,万方 Wan Fang 编著,中国建材工业出版社
大学物理学 (第3版) 习题分析与题解,王少杰 wang shao jie 主编,同济大学出版社
单片机Keil Cx51应用开发技术,王为靑 wang wei qing 编著,人民邮电出版社
弹性力学简明教程,"杨桂通, yang gui tong 1931-  编著",清华大学出版社
地底奇人,倪匡 ni kuang 著,上海书店出版社
邓小平的三落三起,赵晓光 zhao xiao guang 著,辽宁人民出版社
邓小平时代,"傅高义 Fu gao yi (Vogel, Ezra F.), 1930- 著",生活·读书·新知三联书店
邓小平文选  第一卷,邓小平 著,人民出版社
第三帝国的兴亡,"夏伊勒, xia yi le W. L. (Shirer, William L.) 著",世界知识出版社
电磁学,徐游 Xu You 编著,科学出版社
电工学习题解答,张继红 zhang ji hong 主编,机械工业出版社
电机学,"孙旭东, sun xu dong 1965- 编著",清华大学出版社
电路学习指导与习题精解,潘双来 pan shuang lai 编著,清华大学出版社
动态电力系统的理论和分析,"倪以信, ni yi xin 1946- 著",清华大学出版社
洞察未来,"马斯洛, Ma Si Luo A. H. (Maslow, Abraham Harold), 1908-1970 著",华夏出版社
读城记,"易中天, yi zhong tian 1947- 著",上海文艺出版社
读史学做人,任浩之 ren hao zhi 著,陕西师范大学出版社
泛函分析学习指南,林源渠 lin yuan qu 编著,北京大学出版社
方与圆全集,宋小威 Song Xiao Wei 著,万卷出版公司
非线性光学,石顺祥 shi shun xiang 编著,西安电子科技大学出版社
分岔与奇异性,陆启韶 编著,上海科技敎育出版社
风声鹤唳,"林语堂, Lin Yu Tang 1895-1976 著",陕西师范大学出版社
复变函数重点难点考点辅导与精析,李昌兴 li chang xing 主编,西北工业大学出版社
复合材料力学,"沈观林, shen guan lin 1935-  编著",清华大学出版社
概率论·数理统计·随机过程,胡细宝 hu xi bao 编,北京邮电大学出版社
概率论与数理统计全程导学及习题全解,谢婧 xie jing 主编,中国时代经济出版社
高等代数,丘维声 qiu wei sheng 著,清华大学出版社
高等代数简明教程,蓝以中 lan yi zhong 编著,北京大学出版社
高等工程流体力学,张鸣远 zhang ming yuan 编著,西安交通大学出版社
高等数学题型全攻略,吴云天 wu yun tian 编著,化学工业出版社
高等数学同步学习辅导,西北工业大学高等数学敎研室 xi bei gong ye da xue gao deng shu xue jiao yan shi 编,西北工业大学出版社
高等数学习题课教程,蒋福民 jiang fu min 编,同济大学出版社
高等数学学习辅导与习题选解,同济大学 Tong Ji Da Xue 数学系 Shu Xue Xi 主编,同济大学出版社
格子Boltzmann方法的原理及应用,郭照立 guo zhao li 著,科学出版社
工程优化方法及其应用,"张可村, zhang ke cun 1943- 编著",西安交通大学出版社
工科数学分析例题与习题,孙振绮 sun zhen qi 主编,机械工业出版社
公司理财,"罗斯 Luosi (Ross, Stephen A.) 著",机械工业出版社
古董局中局,马伯庸 ma bo yong 著,凤凰出版社
古今数学思想,"克莱因, Ke Lai Yin (Kline, Morris), 1908-1992 著",上海科学技术出版社
固体物理基础,吴代鸣 Wu Dai Ming 著,高等敎育出版社
顾城精选集,"顾城, gu cheng 1956-1993 著",北京燕山出版社
顾城精选集,"顾城, gu cheng 1956-1993 著",北京燕山出版社
鬼谷子详解,"鬼谷子, gui gu zi 原著",岳麓书社
国富论,"斯密 Simi (Smith, Adam), 1723-1790 著",江苏人民出版社
国外社会学理论,刘少杰 Liu Shao Jie 主编,高等敎育出版社
汉英词典,王希荣 wang xi rong 主编,外文出版社
航空发动机,"刘大响, liu da xiang 1937-  编著",航空工业出版社
红楼梦,"曹雪芹, cao xue qin 清代 著",花城出版社
红与黑,"司汤达 si tang da (Stendhal), 1783-1842 著",译林出版社
换热器,董其伍 Dong Qi wu 编,化学工业出版社
黄帝内经,段青峰 duan qing feng 注译,崇文书局
机会就在你身边,"哈伯德 Ha Bo De (Hubbard, Elbert), 1856-1915 著",北方文艺出版社
机械绘图与识图300例,周明贵 Zhou Ming Gui 主编,化学工业出版社
基本粒子物理学史,"派斯, Pai Si A. (Pais, Abraham) 著",武汉出版社
基督山伯爵,"大仲马 da zhong ma (Dumas, Alexandre), 1802-1870 著",长江文艺出版社
基于ANSYS平台有限元分析手册,曾攀 zeng pan 编著,机械工业出版社
基于OpenCV的计算机视觉技术实现,陈胜勇 Chen Sheng Yong 编著,科学出版社
计算机网络,谢希仁 xie xi ren 编著,电子工业出版社
计算机网络,"库罗斯, Ku Luo Si (Kurose, James F.) 著",机械工业出版社
计算机组成原理,唐朔飞 tang shuo fei 编著,高等敎育出版社
计算声学,李太宝 Li Tai Bao 著,科学出版社
夹边沟记事,"杨显惠, yang xian hui 1946- 著",花城出版社
假面饭店,东野圭吾 Dongyeguiwu 1958- 著 CAL  n2011101218# jt0yjt0y ec0yec0y,南海出版公司
街道的美学,"芦原义信, Lu Yuan Yi Xin 1918-2003 著",百花文艺出版社
金陵十三钗,"严歌苓, yan ge ling 1958- 著",北京联合出版公司;"陕西师范大学出版社"
京华烟云,"林语堂, Lin Yutang 1895-1976 著 CAL  n2004137661# jt0yjt0y ec0yec0y",江苏文艺出版社
经典力学的数学方法,"阿诺尔德 A Nuo Er De (Арнольд, В. И.), 著",高等敎育出版社
经典思维50法,麦冬 mai dong 编著,内蒙古人民出版社
经典童话三部曲,"卡罗尔 Ka Luo Er (Carroll, L.) 原著",清华大学出版社
经济学300年,何正斌 He Zhengbin 著,湖南科学技术出版社
精通MATLAB图像处理,张强 zhang qiang 编著,电子工业出版社
精通MATLAB图像处理,张强 zhang qiang 编著,电子工业出版社
矩阵分析,史荣昌 Shi Rong Chang 编著,北京理工大学出版社
矩阵分析,史荣昌 shi rong chang 编著,北京理工大学出版社
绝缘子及输变电设备外绝缘,"关志成, guan zhi cheng 1944- 著",清华大学出版社
控制理论基础,王显正 wang xian zheng 编著,科学出版社
朗文·外研社新概念英语,Alexander L.G. 合作编著,外语敎学与研究出版社;"朗文出版亚洲有限公司"
离散数学及其在计算机中的应用,,人民邮电出版社
理论力学,金尚年 jin shang nian 编著,高等教育出版社
理论力学,金尚年 jin shang nian 编著,高等教育出版社
理论力学,"武清玺, wu qing xi 1951- 主编",高等教育出版社
理论力学,范钦珊 fan qin shan 编著,清华大学出版社
理论力学,"王铎, Wang Duo 1920- 主编 CAL  n2004188330# jt0yjt0y ec0yec0y",高等教育出版社
理论力学知识要点与习题解析,郑全逸 zheng quan yi 主编,哈尔滨工程大学出版社
力学小问题及全国大学生力学竞赛试题,高云峰 gao yun feng 编,清华大学出版社
历史深处的忧虑,"林达, Lin Da 1952-  著",生活?读书?新知三联书店
例说51单片机,张义和 zhang yi he 编著,人民邮电出版社
量子力学导论,曾谨言 Zeng Jin Yan 1931- 著,北京大学出版社
量子力学教程,曾谨言 zeng jin yan 著,科学出版社
临床组织病理学彩色图谱,,辽宁科学技术出版社
刘备日记,刘思 liu si 著,中国民航出版社
流星雨,"三毛, San Mao, 1943-1991 著",北京十月文艺出版社
龙族,江南 Jiang Nan 著,长江出版社
龙族,江南 jiang nan 著,长江出版社
论法的精神,"孟德斯鸠 meng de si jiu (Montesquieu, Charles de Secondat), 1689-1775 著",陕西人民出版社
罗生门,芥川龙之介 jie chuan long zhi jie 著,译林出版社
马太效应,朱煜 zhu yu 编译,中国纺织出版社
毛泽东传,"特里尔 te li er (Trier, R.) 著",河北人民出版社
美国宪政历程,任东来 ren dong lai 著,中国法制出版社
美丽童话,格斯特 Ge Si Te 原著,清华大学出版社
明朝那些事儿,当年明月 dang nian ming yue 著,中国海关出版社
摩擦学的分形,"葛世荣, Ge Shi Rong , 1963- 著",机械工业出版社
目送,"龙应台, Long Yingtai 1952- 著 CAL  n2004326909# jt0yjt0y ec0yec0y",生活·读书·新知三联书店
内科学习题集,马爱群 ma ai qun 主编,人民卫生出版社
尼罗河上的惨案,"克里斯蒂 ke li si di (Christie, Agatha), 1890-1976 著",新星出版社
你不可不知道的300幅名画,刘绮文 liu qi wen 主编,中国旅游出版社
你好，旧时光,八月长安 Ba Yue Chang An 著,新世界出版社
凝聚态物理学新论,冯端 FENG DUAN 著,上海科学技术出版社
挪威的森林,"村上春树, cun shang chun shu 1949-  著",上海译文出版社
偏微分方程现代数值方法,马逸尘 Ma Yi Chen 编著,科学出版社
飘,"米切尔 Mi Qie Er (Mitchell, M.) 著",译林出版社
品味四季生活,"海明威 hai ming wei (Hemingway, Ernest), 1899-1961 著",北方文艺出版社
平狄克版《微观经济学》(第七版) 学习手册,翔高教育经济学教学研究中心 xiang gao jiao yu jing ji xue jiao xue yan jiu zhong xin 编写,中国人民大学出版社
普通化学,浙江大学 zhe jiang da xue 普通化学教研组 pu tong hua xue jiao yan zu 编,高等教育出版社
普通化学,浙江大学 zhe jiang da xue 普通化学教研组 pu tong hua xue jiao yan zu 编,高等教育出版社
嵌入式Linux应用开发完全手册,韦东山 wei dong shan 编著,人民邮电出版社
青花瓷,方文山 fang wen shan 著,作家出版社
倾城之恋,"张爱玲, zhang ai ling 1920-1995 著",北京十月文艺出版社
全家福,叶广芩 Ye Guang Qin 著,北京出版社
热分析动力学,胡荣祖 Hu Rong Zu 主编,科学出版社
热喷涂技术与应用,吴子健 Wu Zi Jian 编著,机械工业出版社
人工神经网络理论、设计及应用,韩力群 han li qun (计算机) 编著,化学工业出版社
人性管理,曾仕强 zeng shi qiang 著,东方出版社
人一生要读的100首诗歌,淡霞 dan xia 主编,中国和平出版社
日本小说经典,叶渭渠 Ye Wei Qu 编选,上海文艺出版社
日本语初级语法,刘文照 Liu Wen Zhao 编著,华东理工大学出版社
溶胶-凝胶原理与技术,黄剑锋 Huang Jian Feng 编,化学工业出版社
丧钟为谁而鸣,"海明威 hai ming wei (Hemingway, Ernest), 1899-1961 著",上海译文出版社
杀死一只知更鸟,"李 li (Lee, Harper), 1926- 著",译林出版社
莎士比亚名篇赏析,"莎士比亚, sha shi bi ya W. (Shakespeare, William), 1564-1616 著",北京大学出版社
设计与验证,吴继华 wu ji hua 编著,人民邮电出版社
社会契约论,"卢梭 lu suo (Rousseau, Jean Jacques), 1712-1778 著",江西人民出版社
社会网络分析,"林聚任, lin ju ren 1961-  著",北京师范大学出版社
社会学二十讲,"亚历山大 ya li shan da (Alexander,Jeffery C.) 著",华夏出版社
生活的艺术,"林语堂, lin yu tang 1895-1976 著",陕西师范大学出版社
生死疲劳,"莫言, mo yan 1955-  著",上海文艺出版社
生物信息学基因和蛋白质分析的实用指南,"Baxevanis,  Andreas D. 著",清华大学出版社
声学理论与工程应用,何琳 He Lin 编著,科学出版社
十四堂人生创意课,李欣频 li xin pin 著,电子工业出版社
十天突破雅思口语,慎小嶷 Shen Xiao Yi 编著,机械工业出版社
时间中国,紫图黑镜头编辑部 zi tu hei jing tou bian ji bu 编,花山文艺出版社
时空的未来,"霍金, huo jin S. W. (Hawking, Stephen William), 1942-  著",湖南科学技术出版社
实变函数与泛函分析基础,程其襄 cheng qi xiang 编,高等教育出版社
实分析与复分析,"鲁丁, lu ding W. (Rudin, Walter) 著",机械工业出版社
史铁生散文,"史铁生, Shi Tie Sheng 1951-  著",人民文学出版社
世界文明史,马克 [yao] Ma Ke Yao 主编,北京大学出版社
数据挖掘基础教程,"索曼 Suo Man (Soman, K. P.) 著",机械工业出版社
数学大师,"贝尔 bei er (Bell, Eric Temple), 1883-1960 著",上海科技敎育出版社
数学大师启示录,陈诗谷 chen shi gu 著,开明出版社
数学分析习题集题解,"吉米多维奇 ji mi duo wei qi (Демидович, Б. П.) 著",山东科学技术出版社
数学建模,杨桂元 yang gui yuan 主编,中国科学技术大学出版社
