题名,作者,出版社
模式分类,杜达,"机械工业出版社;""中信出版社"""
模式识别,边肇祺,清华大学出版社
纳粹,赫泽斯坦,"中国社会科学出版社;""海南出版社"""
品三国,易中天,上海文艺出版社
实验模态分析及其应用,李德葆,科学出版社
数学建模方法,刘承平,高等教育出版社
有限单元法,王勖成,清华大学出版社
MATLAB R2007基础与提高,常巍,电子工业出版社
SQL Server 7.0 入门与提高,周绪,清华大学出版社
编程之美,,电子工业出版社
高等代数解题方法,许甫华,清华大学出版社
高等数学习题课教程,华中理工大学,华中理工大学出版社
激荡三十年,吴晓波,"中信出版社;""杭州"";""浙江人民出版社"""
离散数学教程,耿素云,北京大学出版社
理论力学,哈尔滨工业大学,高等教育出版社
数学建模案例分析,白其崢,海洋出版社
数学建模及其基础知识详解,王文波,武汉大学出版社
数学物理方法,吴崇试,北京大学出版社
数字信号处理教程,程佩靑,清华大学出版社
C++ Primer中文版,利普曼,中国电力出版社
材料力学,范钦珊,高等教育出版社
传热学典型题解析及自测试题,朱惠人,西北工业大学出版社
东京奇谭集,村上春树,上海译文出版社
傅里叶分析及其应用,潘文杰,北京大学出版社
概率论与数理统计习题全解全析,滕素珍,大连理工大学出版社
经济博弈论,谢识予,复旦大学出版社
理论力学,,西北工业大学出版社
力学习题与解答,舒幼生,北京大学出版社
流体力学学习方法及解题指导,程军,同济大学出版社
穆斯林的葬礼,霍达,北京十月文艺出版社
实用数据统计分析及SPSS 12.0应用,章文波,人民邮电出版社
数学建模,徐全智,高等敎育出版社
数值分析 (第四版) 导教·导学·导考,封建湖,西北工业大学出版社
问题解决的数学模型方法,刘来福,北京师范大学出版社
寻找薛定谔的猫,格里宾,海南出版社
阳光下的罪恶,克里斯蒂,人民文学出版社
C和指针,里克,人民邮电出版社
JAVA 2核心技术,霍斯特曼,机械工业出版社
MATLAB函数速查手册,邓薇,人民邮电出版社
VHDL与FPGA设计,胡振华,中国铁道出版社
Visual Fortran 程序设计,唐章宏,人民邮电出版社
大学物理学习指导与提高,林敬与,北京航空航天大学出版社
复变函数,余家荣,高等教育出版社
概率论与数理统计习题集,姚孟臣,机械工业出版社
离散时间信号处理,奥本海姆,西安交通大学出版社
理论力学学习方法及解题指导,韦林,同济大学出版社
连城诀,金庸,"广州出版社;""花城出版社"""
魔鬼经济学,莱维特,广东经济出版社
人性的弱点,檀明山,海峡文艺出版社
上帝掷骰子吗,曹天元,辽宁敎育出版社
神经网络原理,海金,机械工业出版社
声学基础,杜功焕,南京大学出版社
数学分析,龚怀云,西安交通大学出版社
通Visual C++图像处理编程,周长发,电子工业出版社
微分几何入门与广义相对论,梁灿彬,北京师范大学出版社
线性代数,居余马,淸华大学出版社
小逻辑,黑格尔,重庆出版社
影响力,恰尔迪尼,中国人民大学出版社
原子物理学,杨福家,高等教育出版社
2000离散数学习题精解,利普舒茨,"科学出版社;""麦格劳-希尔敎育出版集团"""
ANSYS基础与应用教程,刘相新,科学出版社
Fortran 95程序设计,彭国伦,中国电力出版社
MATLAB M语言高级编程,陈永春,清华大学出版社
MATLAB基础与应用实例集粹,王琦,人民邮电出版社
爱因斯坦的  诡辩 ,布鲁斯,上海科学普及出版社
"别逗了, 费曼先生",,湖南科学技术出版社
传热学,赵镇南,高等教育出版社
傅雷家书,傅雷,生活?读书?新知三联书店
高等数学习题与精解,上海交通大学,上海交通大学出版社
光学习题课教程,郑植仁,哈尔滨工业大学出版社
红与黑,斯丹达尔,上海文艺出版社
计算方法要点与解题,杨泮池,西安交通大学出版社
美学四讲,李泽厚,天津社会科学院出版社
青年7个必要的选择,南山,海潮出版社
撒哈拉的故事,三毛,北京十月文艺出版社
数学分析,徐森林,清华大学出版社
数学模型方法,齐欢,华中理工大学出版社
微积分学教程,菲赫金哥尔茨,高等敎育出版社
线性代数及其应用,莱,机械工业出版社
信号与系统学习指导及习题精解,陈后金,"清华大学出版社;""北京交通大学出版社"""
有限单元法基本原理和数值方法,王勖成,清华大学出版社
最新经典ANSYS及Workbench教程,小飒工作室,电子工业出版社
ANSYS10.0有限元分析自学手册,邓凡平,人民邮电出版社
C程序设计语言,柯尼汉,机械工业出版社
Pride and prejudice,奥斯汀,广州出版社
大学物理通用教程,周岳明,北京大学出版社
弗洛伊德的智慧,弗洛伊德,中国电影出版社
概率统计辅导,陈魁,清华大学出版社
计量经济分析方法与建模EViews应用及实例,高铁梅,清华大学出版社
力学,郑永令,高等教育出版社
模拟CMOS集成电路设计,拉扎维,西安交通大学出版社
数学分析,孙清华,华中科技大学出版社
数学模型,《数学模型》编写组,华南理工大学出版社
数字信号处理学习指导与习题解答,张小虹,机械工业出版社
现代优化计算方法,邢文训,清华大学出版社
线性代数自学指导与习题精解,魏战线,西安交通大学出版社
乡土中国,费孝通,上海人民出版社
小妇人,奥尔科特,外文出版社
愚人颂,,北京图书馆出版社
